cod_entite,typ_entite,lib_entite,long_wgs84,lat_wgs84,x_centroid,y_centroid,cod_versio,dpt,id,nom,hdf_sociodemographie-hdf_sociodemographie_menrp,hdf_sociodemographie-hdf_sociodemographie_pop_mun
"6200100",QLM,ABLAIN SAINT NAZAIRE,2.711873727200000,50.392415194599998,626692.649249569978565,2599763.760206699836999,"2021","62","1",Projet,"740","1772"
"6200700",QLM,ACQ,2.655549775700000,50.348726621300003,622699.426700299954973,2594877.286259899847209,"2021","62","1",Projet,"288","769"
"6201100",QLM,AGNEZ LES DUISANS,2.655477221400000,50.311785854900002,622710.921145910047926,2590760.691860199905932,"2021","62","1",Projet,"267","653"
"6201200",QLM,AGNIERES,2.605119638700000,50.352947404600002,619101.668210059986450,2595334.241214800160378,"2021","62","1",Projet,"94","249"
"6201400",QLM,AIRE SUR LA LYS,2.397475698300000,50.639793009500004,604271.320629519992508,2627275.857829200103879,"2021","62","1",Projet,"4171","9871"
"6201900",QLM,AIX NOULETTE,2.712272849700000,50.423270474699997,626704.677027510013431,2603202.655905000399798,"2021","62","1",Projet,"1640","3906"
"6202300",QLM,ALLOUAGNE,2.510688435300000,50.531693242199999,612324.391514299903065,2615237.299547200091183,"2021","62","1",Projet,"1210","2925"
"6202600",QLM,AMBRICOURT,2.178062662900000,50.469289135300002,588677.031238110037521,2608279.415389299858361,"2021","62","1",Projet,"43","112"
"6202700",QLM,AMBRINES,2.467919250200000,50.310679164200003,609326.574460359988734,2590599.142570699565113,"2021","62","1",Projet,"89","239"
"6202800",QLM,AMES,2.417659669200000,50.536783349600000,605714.061451280023903,2615794.008267099503428,"2021","62","1",Projet,"256","636"
"6202900",QLM,AMETTES,2.394200618900000,50.530416230299998,604047.964058339945041,2615082.821781199891120,"2021","62","1",Projet,"182","475"
"6203000",QLM,AMPLIER,2.396214458100000,50.133883750700001,604224.214605179964565,2570893.929333099629730,"2021","62","1",Projet,"122","302"
"6203200",QLM,ANGRES,2.758919584000000,50.408151197800002,630035.129742859979160,2601534.464339500293136,"2021","62","1",Projet,"1852","4526"
"6203400",QLM,ANNEQUIN,2.725396126200000,50.506928097900001,627593.052818050025962,2612531.368637199979275,"2021","62","1",Projet,"888","2201"
"6203500",QLM,ANNEZIN,2.618097113300000,50.535995508699997,619954.106530099990778,2615738.917873899918050,"2021","62","1",Projet,"2475","5898"
"6203600",QLM,ANVIN,2.253448950100000,50.448186426100001,594037.437083649914712,2605919.088207200169563,"2021","62","1",Projet,"313","772"
"6203700",QLM,ANZIN SAINT AUBIN,2.745065306800000,50.314466909700002,629102.533905189950019,2591088.982696500141174,"2021","62","1",Projet,"1201","2742"
"6204102",QLM,ARRAS Q02,2.745076507000000,50.302042796599999,629110.517164960037917,2589704.525606600102037,"2021","62","1",Projet,"1845","4504"
"6204500",QLM,AUBIGNY EN ARTOIS,2.588336484000000,50.350747276299998,617905.749302139971405,2595085.106599799823016,"2021","62","1",Projet,"625","1459"
"6204600",QLM,AUBIN SAINT VAAST,1.972965708800000,50.395838505599997,574048.745537290000357,2600141.798189599998295,"2021","62","1",Projet,"319","759"
"6204700",QLM,AUBROMETZ,2.179087851000000,50.304846753699998,588713.088952110032551,2589952.809673700015992,"2021","62","1",Projet,"60","152"
"6204800",QLM,AUCHEL,2.469734649300000,50.508228347200003,609419.011524379951879,2612616.103439799975604,"2021","62","1",Projet,"4302","10291"
