"num_bu","cod_entite_geo","typ_entite_geo","cod_version","menrp","pop_mun"
1,"6229700","QLM","2021",1359,3640
1,"6229800","QLM","2021",203,546
1,"6229900","QLM","2021",99,250
1,"6230000","QLM","2021",1142,2738
1,"6230100","QLM","2021",31,76
1,"6230200","QLM","2021",89,233
1,"6230300","QLM","2021",78,234
1,"6230400","QLM","2021",131,325
1,"6230600","QLM","2021",176,399
1,"6230700","QLM","2021",109,228
1,"6230800","QLM","2021",166,479
1,"6230900","QLM","2021",606,1629
1,"6231000","QLM","2021",728,1725
1,"6231100","QLM","2021",752,2044
1,"6231200","QLM","2021",116,290
1,"6231300","QLM","2021",384,951
1,"6231400","QLM","2021",142,373
1,"6231500","QLM","2021",135,352
1,"6231600","QLM","2021",74,172
1,"6231700","QLM","2021",174,450
1,"6231800","QLM","2021",4678,10865
1,"6231900","QLM","2021",94,258
1,"6232000","QLM","2021",132,314
1,"6232100","QLM","2021",1748,4551
1,"6232200","QLM","2021",50,120
1,"6232300","QLM","2021",455,1181
1,"6232400","QLM","2021",238,557
1,"6232500","QLM","2021",414,984
1,"6232600","QLM","2021",89,237
1,"6232700","QLM","2021",225,600
1,"6232800","QLM","2021",358,912
1,"6232900","QLM","2021",646,1802
1,"6233000","QLM","2021",500,1313
1,"6233100","QLM","2021",446,1028
1,"6233200","QLM","2021",222,523
1,"6233300","QLM","2021",143,385
1,"6233400","QLM","2021",350,891
1,"6233500","QLM","2021",244,509
1,"6233600","QLM","2021",195,479
1,"6233700","QLM","2021",90,225
1,"6233800","QLM","2021",1114,2732
1,"6233900","QLM","2021",45,122
1,"6234000","QLM","2021",334,898
1,"6234100","QLM","2021",187,435
1,"6234200","QLM","2021",36,100
1,"6234300","QLM","2021",111,278
1,"6234400","QLM","2021",42,108
1,"6234500","QLM","2021",45,102
1,"6234600","QLM","2021",76,211
1,"6234700","QLM","2021",59,136
1,"6234800","QLM","2021",63,160
1,"6234900","QLM","2021",617,1570
1,"6235000","QLM","2021",470,1060
1,"6235100","QLM","2021",2359,6362
1,"6235200","QLM","2021",39,105
1,"6235300","QLM","2021",111,244
1,"6235400","QLM","2021",310,843
1,"6235500","QLM","2021",224,572
1,"6235600","QLM","2021",314,772
1,"6235700","QLM","2021",28,69
1,"6235800","QLM","2021",89,214
1,"6235900","QLM","2021",212,575
1,"6236000","QLM","2021",523,1322
1,"6236100","QLM","2021",1466,3570
1,"6236200","QLM","2021",84,239
1,"6236300","QLM","2021",162,380
1,"6236400","QLM","2021",1003,2371
1,"6236500","QLM","2021",80,199
1,"6236600","QLM","2021",130,321
1,"6236700","QLM","2021",258,838
1,"6236800","QLM","2021",78,199
1,"6236900","QLM","2021",237,627
1,"6237000","QLM","2021",52,128
1,"6237100","QLM","2021",801,1947
1,"6237200","QLM","2021",60,150
1,"6237300","QLM","2021",372,1012
1,"6237400","QLM","2021",62,156
1,"6237500","QLM","2021",42,96
1,"6237600","QLM","2021",977,2536
1,"6237700","QLM","2021",395,951
1,"6237800","QLM","2021",82,197
1,"6237900","QLM","2021",149,330
1,"6238000","QLM","2021",130,344
1,"6238100","QLM","2021",58,133
1,"6238200","QLM","2021",255,643
1,"6238300","QLM","2021",545,1368
1,"6238400","QLM","2021",261,638
1,"6238500","QLM","2021",166,410
1,"6238600","QLM","2021",2708,6932
1,"6238700","QLM","2021",154,365
1,"6238800","QLM","2021",125,296
1,"6238900","QLM","2021",16,30
1,"6239000","QLM","2021",602,1508
1,"6239100","QLM","2021",603,1425
1,"6239200","QLM","2021",143,336
1,"6239300","QLM","2021",401,1092
1,"6239500","QLM","2021",58,139
1,"6239600","QLM","2021",9,17
1,"6239700","QLM","2021",2101,5626
1,"6239800","QLM","2021",117,270
1,"6239900","QLM","2021",266,676
1,"6240000","QLM","2021",2033,4886
1,"6240100","QLM","2021",1666,4337
1,"6240200","QLM","2021",130,325
1,"6240300","QLM","2021",498,1195
1,"6240400","QLM","2021",92,217
1,"6240500","QLM","2021",194,504
1,"6240600","QLM","2021",100,255
1,"6240700","QLM","2021",412,992
1,"6240800","QLM","2021",563,1469
1,"6240900","QLM","2021",72,196
1,"6241000","QLM","2021",78,184
1,"6241100","QLM","2021",18,50
1,"6241200","QLM","2021",462,1210
1,"6241300","QLM","2021",5200,12354
1,"6241400","QLM","2021",99,238
1,"6241500","QLM","2021",174,445
1,"6241600","QLM","2021",84,218
1,"6241800","QLM","2021",128,316
1,"6241900","QLM","2021",66,185
1,"6242100","QLM","2021",149,403
1,"6242200","QLM","2021",210,524
1,"6242300","QLM","2021",667,1697
1,"6242400","QLM","2021",124,312
1,"6242500","QLM","2021",54,135
1,"6242600","QLM","2021",77,177
1,"6242701","QLM","2021",812,2015
1,"6242702","QLM","2021",2038,4455
1,"6242703","QLM","2021",2189,4730
1,"6242704","QLM","2021",1561,3814
1,"6242705","QLM","2021",1693,4056
1,"6242706","QLM","2021",2776,6952
1,"6242800","QLM","2021",199,527
1,"6242900","QLM","2021",111,300
1,"6243000","QLM","2021",58,164
1,"6243200","QLM","2021",141,378
1,"6243300","QLM","2021",36,95
1,"6243400","QLM","2021",56,149
1,"6243500","QLM","2021",40,104
1,"6243600","QLM","2021",66,171
1,"6243700","QLM","2021",135,313
1,"6243800","QLM","2021",212,540
1,"6243900","QLM","2021",150,422
1,"6244000","QLM","2021",501,1180
1,"6244100","QLM","2021",84,213
1,"6244200","QLM","2021",208,567
1,"6244300","QLM","2021",2494,6245
1,"6244400","QLM","2021",100,232
1,"6244500","QLM","2021",344,822
1,"6244600","QLM","2021",266,677
1,"6244700","QLM","2021",1075,2225
1,"6244800","QLM","2021",726,1863
1,"6244900","QLM","2021",68,165
1,"6245000","QLM","2021",98,243
1,"6245100","QLM","2021",223,529
1,"6245200","QLM","2021",538,1339
1,"6245300","QLM","2021",45,122
1,"6245400","QLM","2021",1002,2452
1,"6245500","QLM","2021",46,112
1,"6245600","QLM","2021",296,718
1,"6245700","QLM","2021",3047,7246
1,"6245800","QLM","2021",447,1127
1,"6245900","QLM","2021",97,232
1,"6246000","QLM","2021",106,269
1,"6246100","QLM","2021",365,886
1,"6246200","QLM","2021",46,137
1,"6246300","QLM","2021",206,464
1,"6246400","QLM","2021",1364,3448
1,"6246500","QLM","2021",95,218
1,"6246600","QLM","2021",89,232
1,"6246700","QLM","2021",74,176
1,"6246800","QLM","2021",102,229
1,"6246900","QLM","2021",245,624
1,"6247000","QLM","2021",37,86
1,"6247100","QLM","2021",396,1070
1,"6247200","QLM","2021",74,162
1,"6247300","QLM","2021",3870,8845
1,"6247400","QLM","2021",472,1153
1,"6247500","QLM","2021",94,259
1,"6247600","QLM","2021",401,1011
1,"6247700","QLM","2021",283,727
1,"6247800","QLM","2021",116,287
1,"6247900","QLM","2021",667,1645
1,"6248000","QLM","2021",1023,2847
1,"6248100","QLM","2021",71,165
1,"6248300","QLM","2021",90,247
1,"6248400","QLM","2021",129,331
1,"6248500","QLM","2021",130,364
1,"6248600","QLM","2021",433,1061
1,"6248700","QLM","2021",472,1299
1,"6248800","QLM","2021",277,753
1,"6248900","QLM","2021",1479,3459
1,"6249000","QLM","2021",105,267
1,"6249100","QLM","2021",1929,4994
1,"6249200","QLM","2021",94,250
1,"6249300","QLM","2021",103,234
1,"6249400","QLM","2021",19,49
1,"6249500","QLM","2021",115,338
1,"6249600","QLM","2021",102,238
1,"6249700","QLM","2021",2790,7167
1,"6249801","QLM","2021",3138,7066
1,"6249802","QLM","2021",2785,5954
1,"6249803","QLM","2021",3149,6488
1,"6249804","QLM","2021",1795,3925
1,"6249805","QLM","2021",1541,3930
1,"6249806","QLM","2021",2035,4052
1,"6249900","QLM","2021",108,273
1,"6250000","QLM","2021",174,405
1,"6250100","QLM","2021",89,222
1,"6250200","QLM","2021",1676,4532
1,"6250300","QLM","2021",109,295
1,"6250400","QLM","2021",93,252
1,"6250500","QLM","2021",186,470
1,"6250600","QLM","2021",639,1631
1,"6250700","QLM","2021",112,291
1,"6250800","QLM","2021",142,380
1,"6250900","QLM","2021",112,327
1,"6251001","QLM","2021",1719,3874
1,"6251002","QLM","2021",1475,3721
1,"6251003","QLM","2021",1628,3823
1,"6251004","QLM","2021",1003,2735
1,"6251005","QLM","2021",2635,5989
1,"6251006","QLM","2021",2135,5564
1,"6251007","QLM","2021",2210,5079
1,"6251100","QLM","2021",58,137
1,"6251200","QLM","2021",236,598
1,"6251300","QLM","2021",89,194
1,"6251400","QLM","2021",102,258
1,"6251500","QLM","2021",218,532
1,"6251600","QLM","2021",4197,9931
1,"6251700","QLM","2021",87,205
1,"6251800","QLM","2021",59,153
1,"6251900","QLM","2021",240,591
1,"6252000","QLM","2021",997,2465
1,"6252100","QLM","2021",88,201
1,"6252200","QLM","2021",110,266
1,"6252300","QLM","2021",2275,5410
1,"6252400","QLM","2021",599,1452
1,"6252500","QLM","2021",4469,11023
1,"6252600","QLM","2021",56,138
1,"6252700","QLM","2021",102,247
1,"6252800","QLM","2021",2776,6751
1,"6252900","QLM","2021",587,1586
1,"6253000","QLM","2021",204,545
1,"6253100","QLM","2021",357,960
1,"6253200","QLM","2021",457,1262
1,"6253300","QLM","2021",55,147
1,"6253400","QLM","2021",1585,3626
1,"6253500","QLM","2021",74,161
1,"6253600","QLM","2021",253,649
1,"6253700","QLM","2021",45,117
1,"6253800","QLM","2021",175,426
1,"6253900","QLM","2021",98,242
1,"6254000","QLM","2021",627,1680
1,"6254100","QLM","2021",48,125
1,"6254200","QLM","2021",75,193
1,"6254300","QLM","2021",843,1997
1,"6254400","QLM","2021",72,185
1,"6254500","QLM","2021",54,151
1,"6254600","QLM","2021",136,314
1,"6254700","QLM","2021",33,66
1,"6254800","QLM","2021",4003,10676
1,"6254900","QLM","2021",510,1093
1,"6255000","QLM","2021",512,1134
1,"6255100","QLM","2021",101,243
1,"6255200","QLM","2021",449,986
1,"6255300","QLM","2021",117,285
1,"6255400","QLM","2021",34,102
1,"6255500","QLM","2021",2383,5579
1,"6255600","QLM","2021",128,299
1,"6255700","QLM","2021",1044,2464
1,"6255800","QLM","2021",65,179
1,"6255900","QLM","2021",416,976
1,"6256000","QLM","2021",2037,5088
1,"6256100","QLM","2021",85,196
1,"6256200","QLM","2021",87,185
1,"6256300","QLM","2021",3190,8053
1,"6256400","QLM","2021",177,474
1,"6256500","QLM","2021",35,77
1,"6256600","QLM","2021",270,700
1,"6256700","QLM","2021",249,651
1,"6256800","QLM","2021",279,697
1,"6256900","QLM","2021",261,656
1,"6257000","QLM","2021",4731,11363
1,"6257100","QLM","2021",1517,3348
1,"6257200","QLM","2021",278,664
1,"6257300","QLM","2021",1538,3786
1,"6257400","QLM","2021",82,230
1,"6257600","QLM","2021",53,139
1,"6257700","QLM","2021",30,90
1,"6257800","QLM","2021",39,96
1,"6257900","QLM","2021",199,561
1,"6258000","QLM","2021",173,476
1,"6258100","QLM","2021",120,300
1,"6258200","QLM","2021",259,651
1,"6258300","QLM","2021",241,592
1,"6258400","QLM","2021",530,1359
1,"6258500","QLM","2021",172,413
1,"6258600","QLM","2021",186,460
1,"6258700","QLM","2021",4073,10198
1,"6258800","QLM","2021",1006,2014
1,"6258900","QLM","2021",415,1023
1,"6259000","QLM","2021",24,63
1,"6259100","QLM","2021",82,210
1,"6259200","QLM","2021",208,558
1,"6259300","QLM","2021",35,94
1,"6259400","QLM","2021",122,309
1,"6259500","QLM","2021",448,1117
1,"6259600","QLM","2021",105,249
1,"6259700","QLM","2021",117,272
1,"6259800","QLM","2021",273,734
1,"6259900","QLM","2021",83,212
1,"6260000","QLM","2021",63,153
1,"6260100","QLM","2021",71,282
1,"6260200","QLM","2021",84,198
1,"6260300","QLM","2021",388,953
1,"6260400","QLM","2021",1606,3746
1,"6260500","QLM","2021",11,28
1,"6260600","QLM","2021",525,1440
1,"6260700","QLM","2021",30,71
1,"6260800","QLM","2021",72,168
1,"6260900","QLM","2021",654,1526
1,"6261000","QLM","2021",293,650
1,"6261100","QLM","2021",207,505
1,"6261200","QLM","2021",241,574
1,"6261300","QLM","2021",345,847
1,"6261400","QLM","2021",212,557
1,"6261500","QLM","2021",94,281
1,"6261600","QLM","2021",67,179
1,"6261700","QLM","2021",5215,12074
1,"6261800","QLM","2021",443,1273
1,"6261900","QLM","2021",57,160
1,"6262000","QLM","2021",597,1398
1,"6262100","QLM","2021",621,1613
1,"6262200","QLM","2021",81,234
1,"6262300","QLM","2021",247,679
1,"6262400","QLM","2021",2473,5973
1,"6262500","QLM","2021",21,53
1,"6262600","QLM","2021",900,2401
1,"6262700","QLM","2021",295,812
1,"6262800","QLM","2021",2925,6561
1,"6262900","QLM","2021",72,173
1,"6263000","QLM","2021",113,294
1,"6263100","QLM","2021",168,476
1,"6263200","QLM","2021",144,379
1,"6263300","QLM","2021",103,249
1,"6263400","QLM","2021",430,1167
1,"6263500","QLM","2021",94,207
1,"6263600","QLM","2021",107,264
1,"6263700","QLM","2021",4052,9767
1,"6263800","QLM","2021",494,1217
1,"6263900","QLM","2021",165,399
1,"6264000","QLM","2021",146,402
1,"6264100","QLM","2021",106,239
1,"6264200","QLM","2021",303,769
1,"6264300","QLM","2021",5618,13422
1,"6264400","QLM","2021",203,506
1,"6264500","QLM","2021",2182,5373
1,"6264600","QLM","2021",247,563
1,"6264700","QLM","2021",333,776
1,"6264800","QLM","2021",197,520
1,"6264900","QLM","2021",332,762
1,"6265000","QLM","2021",292,740
1,"6265100","QLM","2021",180,474
1,"6265200","QLM","2021",656,1686
1,"6265300","QLM","2021",178,421
1,"6265400","QLM","2021",293,777
1,"6265500","QLM","2021",114,292
1,"6265600","QLM","2021",363,948
1,"6265700","QLM","2021",186,499
1,"6265800","QLM","2021",48,124
1,"6265900","QLM","2021",35,81
1,"6266000","QLM","2021",186,454
1,"6266100","QLM","2021",206,494
1,"6266200","QLM","2021",331,853
1,"6266300","QLM","2021",116,306
1,"6266400","QLM","2021",86,232
1,"6266500","QLM","2021",101,207
1,"6266600","QLM","2021",1248,3187
1,"6266700","QLM","2021",4003,9240
1,"6266800","QLM","2021",80,190
1,"6266900","QLM","2021",130,317
1,"6267000","QLM","2021",252,605
1,"6267100","QLM","2021",125,324
1,"6267200","QLM","2021",257,661
1,"6267300","QLM","2021",248,657
1,"6267400","QLM","2021",216,576
1,"6267500","QLM","2021",105,269
1,"6267600","QLM","2021",175,458
1,"6267700","QLM","2021",140,347
1,"6267800","QLM","2021",255,676
1,"6267900","QLM","2021",126,307
1,"6268000","QLM","2021",296,737
1,"6268100","QLM","2021",236,614
1,"6268200","QLM","2021",21,60
1,"6268300","QLM","2021",110,257
1,"6268400","QLM","2021",915,2276
1,"6268500","QLM","2021",98,275
1,"6268600","QLM","2021",138,382
1,"6268800","QLM","2021",1769,4171
1,"6268900","QLM","2021",158,404
1,"6269000","QLM","2021",96,250
1,"6269100","QLM","2021",306,805
1,"6269200","QLM","2021",122,375
1,"6269300","QLM","2021",445,1074
1,"6269400","QLM","2021",85,194
1,"6269500","QLM","2021",104,268
1,"6269600","QLM","2021",92,241
1,"6269700","QLM","2021",86,211
1,"6269800","QLM","2021",117,279
1,"6269900","QLM","2021",243,631
1,"6270000","QLM","2021",89,213
1,"6270100","QLM","2021",177,454
1,"6270200","QLM","2021",142,349
1,"6270300","QLM","2021",143,395
1,"6270400","QLM","2021",244,624
1,"6270500","QLM","2021",770,2096
1,"6270600","QLM","2021",1064,2622
1,"6270800","QLM","2021",15,35
1,"6270900","QLM","2021",110,262
1,"6271000","QLM","2021",55,142
1,"6271100","QLM","2021",1200,3001
1,"6271200","QLM","2021",474,1123
1,"6271300","QLM","2021",550,1359
1,"6271400","QLM","2021",335,782
1,"6271500","QLM","2021",118,285
1,"6271600","QLM","2021",195,528
1,"6271700","QLM","2021",219,538
1,"6271800","QLM","2021",581,1446
1,"6271900","QLM","2021",112,307
1,"6272000","QLM","2021",19,46
1,"6272100","QLM","2021",766,1944
1,"6272200","QLM","2021",40,86
1,"6272300","QLM","2021",92,241
1,"6272400","QLM","2021",3560,8738
1,"6272500","QLM","2021",51,135
1,"6272600","QLM","2021",79,199
1,"6272700","QLM","2021",688,1583
1,"6272800","QLM","2021",268,685
1,"6272900","QLM","2021",97,254
1,"6273000","QLM","2021",619,1650
1,"6273100","QLM","2021",132,294
1,"6273200","QLM","2021",125,345
1,"6273300","QLM","2021",122,309
1,"6273400","QLM","2021",276,722
1,"6273500","QLM","2021",897,2336
1,"6273600","QLM","2021",1565,3982
1,"6273700","QLM","2021",2534,6145
1,"6273800","QLM","2021",65,162
1,"6273900","QLM","2021",136,322
1,"6274000","QLM","2021",106,292
1,"6274100","QLM","2021",57,122
1,"6274200","QLM","2021",119,264
1,"6274300","QLM","2021",180,401
1,"6274400","QLM","2021",1453,3511
1,"6274500","QLM","2021",67,160
1,"6274600","QLM","2021",2055,5076
1,"6274700","QLM","2021",211,592
1,"6274800","QLM","2021",895,2248
1,"6274900","QLM","2021",131,326
1,"6275000","QLM","2021",313,807
1,"6275100","QLM","2021",288,783
1,"6275200","QLM","2021",446,1136
1,"6275300","QLM","2021",2972,6606
1,"6275400","QLM","2021",185,450
1,"6275500","QLM","2021",1393,3452
1,"6275600","QLM","2021",618,1648
1,"6275700","QLM","2021",2549,5906
1,"6275800","QLM","2021",4995,11204
1,"6275900","QLM","2021",172,482
1,"6276000","QLM","2021",121,286
1,"6276100","QLM","2021",80,210
1,"6276200","QLM","2021",48,119
1,"6276300","QLM","2021",390,878
1,"6276400","QLM","2021",2155,4738
1,"6276500","QLM","2021",7023,14782
1,"6276600","QLM","2021",397,1095
1,"6276700","QLM","2021",2369,4971
1,"6276800","QLM","2021",46,101
1,"6276900","QLM","2021",285,760
1,"6277000","QLM","2021",1228,3027
1,"6277100","QLM","2021",3915,9715
1,"6277200","QLM","2021",198,486
1,"6277300","QLM","2021",1682,4496
1,"6277400","QLM","2021",2009,4820
